id,timestamp,url,username,lang,text,views,likes,replies,retweets,quotes
1928084972935778572,Thu May 29 13:44:14 +0000 2025,https://x.com/KCNNEnglish/status/1928084972935778572,KCNNEnglish,en,Russia vs Ukraine War News Update Today: 400 Drones Strike Russian Forces40 Units Lost Watch full report here:,3,0,0,0,0
1928081080520773718,Thu May 29 13:28:46 +0000 2025,https://x.com/RealRavani/status/1928081080520773718,RealRavani,en,"BREAKING: North Korea escalates support for Russias war in Ukraine, shipping 20,000 containers of artillery shells & ballistic missiles, per monitoring reports. Kim Jong Uns regime bolsters Moscows Kursk offensive.",19,0,0,0,0
1928073250711429341,Thu May 29 12:57:39 +0000 2025,https://x.com/WIONews/status/1928073250711429341,WIONews,en,": As Russia calls for new peace talks in Istanbul, Ukraine demands clarity on the proposal ahead of the meeting. With deadly strikes exchanged on both sides and Washington urging ""good-faith"" diplomacy, can this latest push bring the war closer to an end, or is it just another political smokescreen? speaks to , defence and military expert, for more insights",954,3,1,1,0
1928070351608594863,Thu May 29 12:46:08 +0000 2025,https://x.com/RavingMalang/status/1928070351608594863,RavingMalang,en,"Based on principle of reciprocity in warfare, obviously yes. has transformed, boosted and realigned the economy eastwards away from . won't think twice about retaliating as it no longer intends to reconnect with Western economies.",6,0,0,0,0
1928066732565934369,Thu May 29 12:31:45 +0000 2025,https://x.com/apathyreigns/status/1928066732565934369,apathyreigns,en,"Russia and Ukraine remind me of a traditional schoolyard fight. The former being the bully. The latter being the kid that has nothing to lose, willing to fight anyone. And NATO being the kids surrounding the combatants cheering them on.",7,0,0,0,0
1928065469652553805,Thu May 29 12:26:44 +0000 2025,https://x.com/WIONews/status/1928065469652553805,WIONews,en,": Germany pledges 5 billion in new aid to Ukraine Berlin and Kyiv aim to jointly develop the industrial production of long-range missiles, said German Chancellor Friedrich Merz reports",1055,1,0,0,0
1928057905141666151,Thu May 29 11:56:40 +0000 2025,https://x.com/WIONews/status/1928057905141666151,WIONews,en,Ukraine plans to produce 4.5 million drones in 2025 to strengthen its defense against Russia amid the ongoing brings you this report,1005,0,0,0,0
1928049455405699518,Thu May 29 11:23:06 +0000 2025,https://x.com/imshivamsharmaa/status/1928049455405699518,imshivamsharmaa,en,"Russia conducted a large-scale overnight drone attack on Ukraine, deploying 90 Shahed-type UAVs from three directions. Ukrainian air defenses responded to the assault.",32,0,0,0,0
1928041373544108061,Thu May 29 10:50:59 +0000 2025,https://x.com/imshivamsharmaa/status/1928041373544108061,imshivamsharmaa,en,"U.S. President Donald Trump has given Russian President Vladimir Putin a two-week deadline to implement a ceasefire in Ukraine, warning of a harsher U.S. response if attacks continue.",63,0,0,1,0
1928041326748017110,Thu May 29 10:50:48 +0000 2025,https://x.com/imshivamsharmaa/status/1928041326748017110,imshivamsharmaa,en,"Russia and Ukraine are preparing for a new round of peace talks in Istanbul on June 2. Ukraine insists on pre-established peace terms, while Russia demands written guarantees on NATOs non-expansion.",24,0,0,0,0
1928040653448970677,Thu May 29 10:48:07 +0000 2025,https://x.com/imshivamsharmaa/status/1928040653448970677,imshivamsharmaa,en,"Russia conducted a large-scale drone attack on Ukraine, deploying 90 Shahed-type UAVs from three directions. Ukrainian air defenses responded to the assault.",32,0,0,0,0
1928040587581649230,Thu May 29 10:47:51 +0000 2025,https://x.com/imshivamsharmaa/status/1928040587581649230,imshivamsharmaa,en,"Ukraine launched a significant drone assault on Moscow, targeting weapons production sites. Explosions were reported, and strategic facilities were damaged.",38,0,0,0,0
1928038329976520888,Thu May 29 10:38:53 +0000 2025,https://x.com/Realxvox/status/1928038329976520888,Realxvox,en,"ALERT: RUSSIA SHOWS GNATOVKA LIBERATION Russian MoD releases footage of Gnatovkas liberation in Donetsk, showing South Groups assault. Ukrainian forces lost 200+ troops, 3 tanks. via RT | Breaking News",27,0,0,0,0
1928033397512778038,Thu May 29 10:19:17 +0000 2025,https://x.com/AX0bv/status/1928033397512778038,AX0bv,en,How europeans are brainwashed hasn't provioked this war. explaines...,16,0,0,0,0
1928026235889680737,Thu May 29 09:50:50 +0000 2025,https://x.com/USAS_WW1/status/1928026235889680737,USAS_WW1,en,": Ukraine assassinates Russian Army Major Zaur Gurtsiev in Stavropol last night. He helped destroy Mariupol and kill hundreds of civilians and was a Vladimir Putin ""Time of Heroes"" guy.",205,2,0,1,0
1928026017769111641,Thu May 29 09:49:58 +0000 2025,https://x.com/AX0bv/status/1928026017769111641,AX0bv,en,& How credible do you think they are..... You better wake up bfore it's too late....,41,0,0,0,0
1928024157507244188,Thu May 29 09:42:34 +0000 2025,https://x.com/anbokshi/status/1928024157507244188,anbokshi,en,Why is West financing ?War has devastated Its now ruins everywhere. Ukraine needs Peace. Is West Live Testing their WEAPONS in Ukraine? If not both Countries must sit across a Table & discuss peace. Peace is only alternative,21,0,0,0,0
1928016338766659622,Thu May 29 09:11:30 +0000 2025,https://x.com/dilip_mandal_IN/status/1928016338766659622,dilip_mandal_IN,en,Suspicious eyes never trust anyone,53,1,0,0,0
1928013662423277683,Thu May 29 09:00:52 +0000 2025,https://x.com/WIONews/status/1928013662423277683,WIONews,en,| Germany pledges 5 billion in new aid to Ukraine WATCH:,1339,8,1,2,1
1928013274274050538,Thu May 29 08:59:19 +0000 2025,https://x.com/dailyNewsRise/status/1928013274274050538,dailyNewsRise,en,BREAKING: Russia is considering striking targets in Berlin after the German Chancellor authorized Ukraine to use long-range weapons against Moscow Russia Today -35,121,1,0,1,0
1928011542647185660,Thu May 29 08:52:27 +0000 2025,https://x.com/AX0bv/status/1928011542647185660,AX0bv,en,=> Your pressconference....? Not worth the time .... listen to contiuous escalation of a situation instigated and provoked by wef/nato/brussels for years....,46,0,0,0,0
1928010819800875093,Thu May 29 08:49:34 +0000 2025,https://x.com/PKrutogolov/status/1928010819800875093,PKrutogolov,en,rUssia is not at war only when it devours humanitarian aid!,25,0,0,0,0
1928007706415071503,Thu May 29 08:37:12 +0000 2025,https://x.com/RocklineAdv/status/1928007706415071503,RocklineAdv,en,Kiev regime kills Berezhnaya: human rights activist in intensive care of prison hospital.,23,0,0,0,0
1928005648802881884,Thu May 29 08:29:01 +0000 2025,https://x.com/WIONews/status/1928005648802881884,WIONews,en,"Ukraine and Germany reach long-range missiles deal. Country unveils military package worth 5 billion for Ukraine. joined by , Former German Ambassador to China, for perspective.",1056,5,0,2,0
1928005126821662730,Thu May 29 08:26:57 +0000 2025,https://x.com/mohitkumarmadaa/status/1928005126821662730,mohitkumarmadaa,en,"BREAKING: Russia threatens Berlin If Germany supplies Ukraine with long-range missiles, Moscow warns of direct retaliation. Escalation looms in Europe.",47,0,0,0,0
1928003071155548508,Thu May 29 08:18:47 +0000 2025,https://x.com/AX0bv/status/1928003071155548508,AX0bv,en,"According international laws of war, it means war effort is a direct against . Hopefully people understand its implication that explicit engaged your country at war.",21,0,0,0,0
1928002883779215751,Thu May 29 08:18:02 +0000 2025,https://x.com/callmesolaiman/status/1928002883779215751,callmesolaiman,en,Time to hit Berlin and wipeout entire civilization because it is no more civilized but terrorist entity. Hit them hard.,15,0,0,0,0
1928002024953569772,Thu May 29 08:14:37 +0000 2025,https://x.com/ProfShafic/status/1928002024953569772,ProfShafic,en,"SBU drones hit key Russian missile plantKyiv's largest UAV op! Putin demands West halt NATO expansion & lift sanctions for peace. ""Spark fears of 3rd WW Trump to reveal if Putin seeks peace, disappointed by ongoing attacks.",51,0,0,0,0
1927993603625714163,Thu May 29 07:41:10 +0000 2025,https://x.com/StockInvestUS/status/1927993603625714163,StockInvestUS,en,Putin's Peace Demands: How Ukraine Negotiations Could Impact Global Stock Markets and Investor Sentiment,97,0,0,0,0
1927992182914363696,Thu May 29 07:35:31 +0000 2025,https://x.com/VoiceofEastnet/status/1927992182914363696,VoiceofEastnet,en,"Whats The Likelihood That Soon Drops More On Ukraine? By Andrew Korybko Step by step, is turning Sleepy Joe Bidens War into his own, exactly as Steve Bannon warned him not to do.",279,7,0,4,0
1927982821139718593,Thu May 29 06:58:19 +0000 2025,https://x.com/JassiSodhi24/status/1927982821139718593,JassiSodhi24,en,"""The Russia-Ukraine War will only end when President Putin will decide. No one else can end this war"" - my views in the discussion on India News.",58,0,0,0,0
1927979462986981692,Thu May 29 06:44:58 +0000 2025,https://x.com/tober70986277/status/1927979462986981692,tober70986277,en,She sums up s new insights into perfectly!,33,0,0,0,0
1927979209734906315,Thu May 29 06:43:58 +0000 2025,https://x.com/WIONews/status/1927979209734906315,WIONews,en,Kyiv unleashes largest drone barrage on Moscow. USA's Rubio asks Russian FM to have good faith talks with Ukraine. tells you more.,1231,3,0,0,0
